"Symbol","Name","Industry"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials"
"BHP","BHP GROUP LTD","Materials"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials"
"WBC","WESTPAC BANKING CORP","Financials"
"WES","WESFARMERS LTD","Consumer Discretionary"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials"
"CSL","CSL LTD","Healthcare"
"MQG","MACQUARIE GROUP LTD","Financials"
"GMG","GOODMAN GROUP","Real Estate"
"TLS","TELSTRA GROUP LTD","Communication Services"
"RIO","RIO TINTO LTD","Materials"
"WDS","WOODSIDE ENERGY GROUP LTD","Energy"
"TCL","TRANSURBAN GROUP","Industrials"
"ALL","ARISTOCRAT LEISURE LTD","Consumer Discretionary"
"BXB","BRAMBLES LTD","Industrials"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples"
"NST","NORTHERN STAR RESOURCES LTD","Materials"
"COL","COLES GROUP LTD","Consumer Staples"
"QBE","QBE INSURANCE GROUP LTD","Financials"
"FMG","FORTESCUE METALS GROUP LTD","Materials"
"XRO","XERO LTD","Information Technology"
"RMD","RESMED INC","Healthcare"
"STO","SANTOS LTD","Energy"
"SUN","SUNCORP GROUP LTD","Financials"
"ORG","ORIGIN ENERGY LTD","Utilities"
"SCG","SCENTRE GROUP","Real Estate"
"EVN","EVOLUTION MINING LTD","Materials"
"IAG","INSURANCE AUSTRALIA GROUP LTD","Financials"
"CPU","COMPUTERSHARE LTD","Industrials"
"COH","COCHLEAR LTD","Healthcare"
"WTC","WISETECH GLOBAL LTD","Information Technology"
"QAN","QANTAS AIRWAYS LTD","Industrials"
"PME","PRO MEDICUS LTD","Healthcare"
"LYC","LYNAS RARE EARTHS LTD","Materials"
"SGP","STOCKLAND","Real Estate"
"SIG","SIGMA HEALTHCARE LTD","Healthcare"
"MPL","MEDIBANK PVT LTD","Financials"
"NEM","NEWMONT CORP","Materials"
"TLC","LOTTERY CORP LTD/THE","Consumer Discretionary"
"JBH","JB HI-FI LTD","Consumer Discretionary"
"S32","SOUTH32 LTD","Materials"
"CAR","CARSALES.COM LTD","Communication Services"
"SOL","WASHINGTON H SOUL PATTINSON &",""
"APA","APA GROUP","Utilities"
"ASX","ASX LTD","Financials"
"JHX","JAMES HARDIE INDUSTRIES PLC","Materials"
"TNE","TECHNOLOGY ONE LTD","Information Technology"
"NXT","NEXTDC LTD","Information Technology"
"REA","REA GROUP LTD","Communication Services"
"GPT","GPT GROUP/THE","Real Estate"
"ORI","ORICA LTD","Materials"
"CHC","CHARTER HALL GROUP","Real Estate"
"SHL","SONIC HEALTHCARE LTD","Healthcare"
"BSL","BLUESCOPE STEEL LTD","Materials"
"VCX","VICINITY LTD","Real Estate"
"ALQ","ALS LTD","Industrials"
"SGH","SGH LTD","Industrials"
"SEK","SEEK LTD","Communication Services"
"MGR","MIRVAC GROUP","Real Estate"
"360","LIFE360 INC","Information Technology"
"AMC","AMCOR PLC","Materials"
"HUB","HUB24 LTD","Financials"
"DXS","DEXUS","Real Estate"
"BEN","BENDIGO & ADELAIDE BANK LTD","Financials"
"ALD","AMPOL LTD","Energy"
"PLS","PILBARA MINERALS LTD","Materials"
"MIN","MINERAL RESOURCES LTD","Materials"
"RMS","RAMELIUS RESOURCES LTD","Materials"
"QUB","QUBE HOLDINGS LTD","Industrials"
"PRU","PERSEUS MINING LTD","Materials"
"WOR","WORLEY LTD","Industrials"
"FPH","FISHER & PAYKEL HEALTHCARE COR","Healthcare"
"CWY","CLEANAWAY WASTE MANAGEMENT LTD","Industrials"
"SFR","SANDFIRE RESOURCES LTD","Materials"
"SDF","STEADFAST GROUP LTD","Financials"
"RHC","RAMSAY HEALTH CARE LTD","Healthcare"
"TWE","TREASURY WINE ESTATES LTD","Consumer Staples"
"GMD","GENESIS MINERALS LTD","Materials"
"DNL","DYNO NOBEL LTD","Materials"
"AZJ","AURIZON HOLDINGS LTD","Industrials"
"AGL","AGL ENERGY LTD","Utilities"
"WHC","WHITEHAVEN COAL LTD","Energy"
"ZIP","ZIP CO LTD","Financials"
"EDV","ENDEAVOUR GROUP LTD/AUSTRALIA","Consumer Staples"
"XYZ","BLOCK INC","Financials"
"ALX","ATLAS ARTERIA LTD","Industrials"
"APE","EAGERS AUTOMOTIVE LTD","Consumer Discretionary"
"BOQ","BANK OF QUEENSLAND LTD","Financials"
"CMM","CAPRICORN METALS LTD","Materials"
"DOW","DOWNER EDI LTD","Industrials"
"RRL","REGIS RESOURCES LTD","Materials"
"CGF","CHALLENGER LTD","Financials"
"A2M","A2 MILK CO LTD/THE","Consumer Staples"
"ANN","ANSELL LTD","Healthcare"
"VAU","VAULT MINERALS LTD","Materials"
"WGX","WESTGOLD RESOURCES LTD","Materials"
"TLX","TELIX PHARMACEUTICALS LTD","Healthcare"
"MTS","METCASH LTD","Consumer Staples"
"LNW","LIGHT & WONDER INC","Consumer Discretionary"
"VNT","VENTIA SERVICES GROUP PTY LTD","Industrials"
"AMP","AMP LTD","Financials"
"HVN","HARVEY NORMAN HOLDINGS LTD","Consumer Discretionary"
"AUB","AUB GROUP LTD","Financials"
"NWL","NETWEALTH GROUP LTD","Financials"
"NHF","NIB HOLDINGS LTD/AUSTRALIA","Financials"
"GGP","GREATLAND RESOURCES LTD",""
"IGO","IGO LTD","Materials"
"LLC","LENDLEASE CORP LTD","Real Estate"
"PDN","PALADIN ENERGY LTD","Energy"
"REH","REECE LTD","Industrials"
"WAF","WEST AFRICAN RESOURCES LTD","Materials"
"BRG","BREVILLE GROUP LTD","Consumer Discretionary"
"CDA","CODAN LTD/AUSTRALIA","Information Technology"
"RWC","RELIANCE WORLDWIDE CORP LTD","Industrials"
"PNI","PINNACLE INVESTMENT MANAGEMENT","Financials"
"DRO","DRONESHIELD LTD",""
"CLW","CHARTER HALL LONG WALE REIT","Real Estate"
"ARB","ARB CORP LTD","Consumer Discretionary"
"RGN","REGION RE LTD","Real Estate"
"NSR","NATIONAL STORAGE REIT","Real Estate"
"AIA","AUCKLAND INTERNATIONAL AIRPORT","Industrials"
"ILU","ILUKA RESOURCES LTD","Materials"
"AAI","ALCOA CORP","Materials"
"MP1","MEGAPORT LTD","Information Technology"
"SUL","SUPER RETAIL GROUP LTD","Consumer Discretionary"
"EMR","EMERALD RESOURCES NL","Materials"
"ORA","ORORA LTD","Materials"
"CSC","CAPSTONE COPPER CORP","Materials"
"IFL","INSIGNIA FINANCIAL LTD","Financials"
"LOV","LOVISA HOLDINGS LTD","Consumer Discretionary"
"HDN","HOMECO DAILY NEEDS REIT","Real Estate"
