"symbol","name","industry","ret1y","sharpe","sortino","volatility","maxDD","beta","alpha","infoRatio","sortinoStatus","observationCount","benchmark","riskFreeRate","generatedAt","requestedStart","requestedEnd","windowCode","cacheKey"
"360.AX","LIFE360 INC","Information Technology","-0.4952872738330182","-0.6011177682438007","-0.9111087324189739","0.7234559397257867","-0.6769480466981159","1.8623786494992765","-0.2861111296274071","-0.45914485244306147","ok","249","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"A","Agilent Technologies","Health Care","0.24578431160371927","0.8943251383372555","1.2400161974571888","0.3283434357838267","-0.29747440866262986","-0.2189281840129223","0.3141433103112317","0.9340299960142908","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"A2M.AX","A2 MILK CO LTD/THE","Consumer Staples","-0.13165878964905686","-0.30901980549728325","-0.39511741356905605","0.3821699792811825","-0.47447956528779167","0.8299460005613627","-0.17613102659270427","-0.47085709409755944","ok","249","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"AAI.AX","ALCOA CORP","Materials","0.6014649689650913","1.3501702411110446","1.6503629722277127","0.49533687705331747","-0.47454001581863803","1.5965662827774783","0.7130649539012934","1.5179496490823838","ok","249","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"AAPL","Apple Inc.","Information Technology","0.3496497030430368","1.2068385461348334","1.6920628920016383","0.25059505770877233","-0.13798523953754416","0.010347329234485912","0.3239293947613779","1.2628262885887327","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ABBV","AbbVie","Health Care","0.2946915347565602","0.8548563145915239","1.4928640959689066","0.26302902866239464","-0.17315232572100103","-0.21466211235795085","0.18209656987014428","0.7078343848036599","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ABNB","Airbnb","Consumer Discretionary","0.4543650793650793","1.2424746104762412","1.94553291609914","0.3438326716948603","-0.172128271428864","0.10649295065754985","0.4446935765300035","1.269355522904239","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ABT","Abbott Laboratories","Health Care","-0.12164219421367872","-0.4216668846642791","-0.7396752665722615","0.26518359015238135","-0.38610676665387234","-0.28040835228065125","-0.14295424442500393","-0.35822672409189316","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ACGL","Arch Capital Group","Financials","0.07698179013648176","0.23345315571200442","0.3480448809699936","0.21076191342490236","-0.14081192525647457","-0.18437417524634994","0.0380397462239014","0.25541571010062636","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ACN","Accenture","Information Technology","-0.3102490443083894","-0.4855419630184312","-0.9591238197765128","0.43532141458448315","-0.5650679297666877","-0.23254102727268483","-0.17770018980507093","-0.3158409884321756","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ADBE","Adobe Inc.","Information Technology","-0.2711408593796689","-0.5253589714718022","-0.9891176597940133","0.3917582838417206","-0.47365697447431176","-0.11697681910858798","-0.17191497871513606","-0.344969886561722","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ADI","Analog Devices","Information Technology","0.6563347050662407","1.1843152402584254","2.259300019159469","0.3584310370235426","-0.20676576635885802","0.28339655798150526","0.45775405525555","1.2896353846127842","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
"ADM","Archer Daniels Midland","Consumer Staples","0.418398783211793","1.1735640679196193","1.9491719667269474","0.269938289426317","-0.12786160111433642","-0.10700128135749003","0.3314515118355528","1.1607757169747497","ok","243","^AXJO","0.0435","2026-08-19T00:20:53.734601+00:00","2025-08-19","2026-08-19","1Y","[""top-picks-snapshot"",""1Y"",""^AXJO"",0.0435,1000,""2025-08-19"",""2026-08-19""]"
